asset_id,recency_days,frequency,magnitude,recency_score,frequency_score,magnitude_score,risk_segment_score,segment
AST001,105,3,84.0,3,4,3,10,Critical High-Risk Asset
AST002,341,1,55.0,1,1,1,3,Stable / Lower-Risk Asset
AST003,14,4,96.25,4,4,4,12,Critical High-Risk Asset
AST004,308,1,82.0,1,1,3,5,Stable / Lower-Risk Asset
AST005,77,3,89.66666666666667,3,4,4,11,Critical High-Risk Asset
AST006,256,1,63.0,1,1,2,4,Stable / Lower-Risk Asset
AST007,229,1,80.0,1,1,3,5,Stable / Lower-Risk Asset
AST008,212,1,58.0,1,1,1,3,Stable / Lower-Risk Asset
AST009,178,1,76.0,2,2,2,6,Stable / Lower-Risk Asset
AST010,164,1,49.0,2,2,1,5,Stable / Lower-Risk Asset
AST011,135,1,85.0,2,2,4,8,High-Impact Asset
AST012,118,1,35.0,2,2,1,5,Stable / Lower-Risk Asset
AST013,93,1,60.0,3,3,2,8,Stable / Lower-Risk Asset
AST014,60,1,79.0,3,3,2,8,Stable / Lower-Risk Asset
AST015,39,1,42.0,4,3,1,8,Recently Compromised Asset
AST016,23,1,81.0,4,3,3,10,Critical High-Risk Asset
AST017,1,1,86.0,4,4,4,12,Critical High-Risk Asset
