incident_id,date,region,asset_id,asset_type,attack_type,severity,vulnerability_score,threat_intel_score,response_time_hours,recovery_time_hours,downtime_hours,financial_loss,security_protocol_score,mitigation_action,mitigation_status,energy_supply_impact,month_year,cohort_month,severity_weight,downtime_score,financial_loss_score,risk_score,risk_level,anomaly_flag,rfm_recency_score,rfm_frequency_score,rfm_magnitude_score,asset_segment,mitigation_effectiveness
F9584784,2022-01-01 13:33:47,Central,AST-0097,Transmission Line,Ransomware,High,46,51,11.9,165.46338715780064,113.5,70952.48282781095,37,Blocked IP,Failed,Major Outage,2022-01,2022-01,3,8.981562079607501,0.4214542094298998,44.18,Medium,False,4,4,4,High-Risk Repeat Targets,36.69
10C14793,2022-01-01 13:43:40,West,AST-0468,Smart Meter,Phishing,Medium,10,56,8.7,18.642718069098393,17.6,40768.15275711482,33,Patch Applied,Failed,No Impact,2022-01,2022-01,2,1.3927356176307668,0.24216079417354086,29.85,Low,False,2,4,4,High-Risk Repeat Targets,37.58
370D5131,2022-01-01 16:13:32,East,AST-0475,Substation,Insider Threat,Critical,83,24,41.4,296.3,284.7,831316.81,9,Password Reset,Successful,Major Outage,2022-01,2022-01,4,22.529081269288596,4.937980391674277,53.09,Medium,False,1,4,5,High-Risk Repeat Targets,88.48
F4F38B2C,2022-01-01 18:09:29,North,AST-0236,Control Center,Man-in-the-Middle,High,19,50,9.9,68.7,43.6,106537.62,5,Password Reset,Successful,Minor Disruption,2022-01,2022-01,3,3.4501859618580357,0.6328281495181665,35.83,Low,False,1,2,1,Low-Impact Nuisances,97.25
36DACDC3,2022-01-02 00:31:13,North,AST-0211,Substation,DDoS,High,33,32,23.0,112.8,91.4,92822.07,60,No Action,Pending,Major Outage,2022-01,2022-01,3,7.232729287014323,0.5513584665449229,34.61,Low,False,4,3,1,Standard Monitoring,63.6
4B3FAAC3,2022-01-02 01:30:32,West,AST-0256,Smart Meter,Malware,Medium,21,23,6.5,25.8,15.6,22818.23,77,No Action,Pending,No Impact,2022-01,2022-01,2,1.2344702065363615,0.1355391482011698,23.23,Low,False,5,5,2,Standard Monitoring,68.19
0D2765CC,2022-01-02 01:59:32,North,AST-0211,Transmission Line,Ransomware,High,35,71,9.3,58.3,44.8,145653.02,63,No Action,Successful,Minor Disruption,2022-01,2022-01,3,3.5451452085146786,0.8651716747411149,46.97,Medium,False,4,3,1,Standard Monitoring,97.41
3B625CE2,2022-01-02 17:28:16,South,AST-0165,Substation,Man-in-the-Middle,Critical,71,41,15.4,193.8,125.0,1570574.2,62,No Action,Successful,Major Outage,2022-01,2022-01,4,9.891588193400331,9.329132419768479,55.47,Medium,False,1,3,3,Standard Monitoring,95.72
F59FB44B,2022-01-03 01:12:02,Central,AST-0311,Smart Meter,Man-in-the-Middle,Medium,91,28,8.1,15.9,13.1,24950.71,79,System Isolation,Successful,No Impact,2022-01,2022-01,2,1.0366384426683548,0.14820597304937363,45.73,Medium,False,4,3,3,Standard Monitoring,97.75
134869E9,2022-01-03 04:31:03,South,AST-0021,SCADA System,Ransomware,Critical,63,85,26.1,289.0,190.4,1627852.61,2,System Isolation,Successful,Major Outage,2022-01,2022-01,4,15.066867136187387,9.669363318559375,66.33,Medium,False,3,4,5,High-Risk Repeat Targets,92.74
0DC1134A,2022-01-03 15:07:18,North,AST-0345,Control Center,Ransomware,High,94,63,23.5,60.6,37.5,147255.6,10,System Isolation,Pending,Major Outage,2022-01,2022-01,3,2.9674764580200996,0.8746909200166788,62.27,Medium,False,3,2,3,Standard Monitoring,63.46
379A1CB0,2022-01-03 21:36:38,South,AST-0414,Smart Meter,Insider Threat,Critical,29,16,23.0,328.1,316.5,583467.26,68,Password Reset,Successful,Major Outage,2022-01,2022-01,4,25.045501305689637,3.46576642551462,34.19,Low,False,3,5,5,High-Risk Repeat Targets,93.6
6CAFE5B6,2022-01-03 23:28:29,North,AST-0342,Control Center,Man-in-the-Middle,High,42,90,8.0,84.0,55.2,91911.95,11,System Isolation,Successful,Minor Disruption,2022-01,2022-01,3,4.368125346205587,0.5459523991347492,54.71,Medium,False,5,3,3,Standard Monitoring,97.77
54BAFF83,2022-01-04 01:13:38,Central,AST-0407,Control Center,Ransomware,Low,57,20,2.3,3.6,2.3,4417.08,66,Password Reset,Successful,No Impact,2022-01,2022-01,1,0.1820052227585661,0.026237234909825304,28.11,Low,False,5,5,4,High-Risk Repeat Targets,99.36
